text,created_at,author_id,likes,retweets,replies,text_cleaned,finbert_label,finbert_confidence
"Eric Trump predicts Bitcoin will hit $1 million, referencing its 70% historical average annual appreciation. Michael Saylor shared the CNBC interview clip where Trump articulated this bullish outlook. #Bitcoin #Crypto",2026-02-19 01:42:33+00:00,,1,0,1,eric trump predicts bitcoin will hit million referencing its 70 historical average annual appreciation michael saylor shared the cnbc interview clip where trump articulated this bullish outlook bitcoin crypto,positive,0.6686549186706543
"🧱 No need for expensive machines anymore — Bitcell is revolutionizing Bitcoin mining!
  
  ⚡️ You can now mine Bitcoin from your mobile phone with @bitcell_app in just ONE click!

🔋 I just mined 12.00 $BTCL!

👉 Start mining now at https://t.co/Dw2zAqnMkS",2026-02-19 01:42:32+00:00,,0,0,0,no need for expensive machines anymore bitcell is revolutionizing bitcoin mining you can now mine bitcoin from your mobile phone with in just one click i just mined 1200 start mining now at,neutral,0.9016282558441162
"$XPIN

TP3: 0.0020 ✅

$SPY $TSLA $NVDA $QQQ $META $COIN $MSTR #BTC #AAPL 💰 $NVDA $CRM

Join my private group below⬇️
https://t.co/lFH9CQRxv6 https://t.co/W8mmKIJqYa",2026-02-19 01:42:28+00:00,,0,0,0,tp3 00020 btc aapl join my private group below,neutral,0.9174636006355286
"$NAORIS

TP1: 0.047 ✅

$HYPE $USD $ASRR $LTC $USD $BTC $ETH $XRP $SOL $EOSE $OSCR $TTD $DUOL $APP
Join my private  group today below 👇https://t.co/FAv05YrTFP https://t.co/O4MgkUFwry",2026-02-19 01:42:25+00:00,,0,0,0,tp1 0047 join my private group today below,neutral,0.9410820603370667
Not even btc wants to get in the ring with pippkin https://t.co/FkJBn594HD,2026-02-19 01:42:24+00:00,,30,5,5,not even btc wants to get in the ring with pippkin,neutral,0.9358109831809998
"idk why i have a feeling $GME gunna do what it did when they announced they bought $BTC - pop &amp; drop all in premarket tomorrow 😭 

news in AM, pop to like $28 then sell off to $18 lol —— i’d love for it to stay up but still it’s $GME hahaha",2026-02-19 01:42:17+00:00,,27,0,5,idk why i have a feeling gunna do what it did when they announced they bought pop amp drop all in premarket tomorrow news in am pop to like then sell off to lol id love for it to stay up but still its hahaha,neutral,0.8378661870956421
"Stream time! Let's talk about the US vs Iran rumors and what it will mean for Markets if they end up true! $BTC $XAG $SPX $XAU $ADA $SNEK $DONG $SOL $IAG
https://t.co/IMI2NCh5Sx",2026-02-19 01:42:14+00:00,,3,0,0,stream time lets talk about the us vs iran rumors and what it will mean for markets if they end up true,neutral,0.9321884512901306
"Everyone talks.
Few understand.

Different technologies.
Different futures.

If you had to choose long term:

$BTC or $XRP? https://t.co/zrLJNUSNnN",2026-02-19 01:42:11+00:00,,0,0,0,everyone talks few understand different technologies different futures if you had to choose long term or,neutral,0.9220483899116516
I am giving away $100 worth of Bitcoin 🧡🧡 Check my profile 👀,2026-02-19 01:42:10+00:00,,0,0,0,i am giving away worth of bitcoin check my profile,neutral,0.8787826895713806
"$WLFI

TP3: 0.1290 ✅

$xrp $btc $fil $icp #iran #usa #2025MAMA #NestleExtremeโคนเจนใหม่ #ZeeNuNew #الاهلي_القادسيه

Join my  group today below 👇
https://t.co/FAv05YrTFP https://t.co/a52B3Bf6Df",2026-02-19 01:42:01+00:00,,0,0,0,tp3 01290 iran usa 2025mama nestleextremeโคนเจนใหม zeenunew الاهلي_القادسيه join my group today below,neutral,0.9236876368522644
"$JTO

TP3: 0.35 ✅

$SPY $TSLA $NVDA $QQQ $META $COIN $MSTR #BTC #AAPL 💰 $NVDA $CRM

Join my private group below⬇️
https://t.co/lFH9CQRxv6 https://t.co/ieWF6ffEGa",2026-02-19 01:42:01+00:00,,0,0,0,tp3 035 btc aapl join my private group below,neutral,0.9238564968109131
