text,created_at,author_id,likes,retweets,replies
"Free 3 to 5 signals #FOMC available everyday in my channel 🚨  
Join now 👇👇  
📲 Telegram https://t.co/1dlOQCOq3l

Get daily Forex Signals 🔥  
$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $ADA $TRUMP  $HBAR $Trjrjejejh",2026-02-19 01:42:42+00:00,,1,0,0
"15 Minutes Timeframe

🔴 SHORT

#CYBER/USDT

Entry : 0.74881 - 0.727000

Profits
0.723328
0.701409
0.679490
0.657571
0.635652

Stop loss :0.77789

Leverage: 10x

Fellow us on Telegram 📊

https://t.co/9X5uKXaoIQ

$BTC $ETH $GUN $FUN $W $RARE $RATS $ADA $XRP $SOL $MLN $DOGE $GALA",2026-02-19 01:42:41+00:00,,0,0,0
"🚨 FREE GOLD (XAUUSD) TRADING SIGNALS! 
👇👇👇👇👇
https://t.co/JRYy2FPjjZ

 96% Accuracy Rate  
 2–7 Profitable Signals Every Day  

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $AD  $TRUMP  $HBAR bkmjhv",2026-02-19 01:42:40+00:00,,0,0,0
"Eric Trump predicts Bitcoin will hit $1 million, referencing its 70% historical average annual appreciation. Michael Saylor shared the CNBC interview clip where Trump articulated this bullish outlook. #Bitcoin #Crypto",2026-02-19 01:42:33+00:00,,1,0,1
"🧱 No need for expensive machines anymore — Bitcell is revolutionizing Bitcoin mining!
  
  ⚡️ You can now mine Bitcoin from your mobile phone with @bitcell_app in just ONE click!

🔋 I just mined 12.00 $BTCL!

👉 Start mining now at https://t.co/Dw2zAqnMkS",2026-02-19 01:42:32+00:00,,0,0,0
"🚨 FREE GOLD (XAUUSD) TRADING SIGNALS! 
👇👇👇👇👇
https://t.co/JRYy2FPjjZ

 96% Accuracy Rate  
 2–7 Profitable Signals Every Day  

$CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $AD  $TRUMP  $HBAR bfdczs",2026-02-19 01:42:30+00:00,,0,0,0
"$XPIN

TP3: 0.0020 ✅

$SPY $TSLA $NVDA $QQQ $META $COIN $MSTR #BTC #AAPL 💰 $NVDA $CRM

Join my private group below⬇️
https://t.co/lFH9CQRxv6 https://t.co/W8mmKIJqYa",2026-02-19 01:42:28+00:00,,0,0,0
"$NAORIS

TP1: 0.047 ✅

$HYPE $USD $ASRR $LTC $USD $BTC $ETH $XRP $SOL $EOSE $OSCR $TTD $DUOL $APP
Join my private  group today below 👇https://t.co/FAv05YrTFP https://t.co/O4MgkUFwry",2026-02-19 01:42:25+00:00,,0,0,0
Not even btc wants to get in the ring with pippkin https://t.co/FkJBn594HD,2026-02-19 01:42:24+00:00,,30,5,5
"🚨 HERE'S THE EXACT REASON THE MARKET JUST CRASHED:

COINBASE DUMPED 14,557 BTC
KRAKEN DUMPED 4,295 BTC
FALCONX DUMPED 3,597 BTC
BINANCE DUMPED 3,127 BTC
REVOLUT DUMPED 3,110 BTC
ANCHORAGE DUMPED 3,029 BTC
WINTERMUTE DUMPED 2,666 BTC

THIS WAS A COORDINATED DUMP!!! https://t.co/CfE83NuCjs",2026-02-19 01:42:20+00:00,,0,0,0
